rank,Cities,States,Population(2019),Population(2016),Land-Area-miles^2-2016,Land-Area-km^2-2016,Density-Miles^2,Density-Km^2,
1,New York, New York,"8,336,817","8,175,133",301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",
2,Los Angeles, California,"3,979,576","3,792,621",468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",
3,Chicago, Illinois,"2,693,976","2,695,598",227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",
4,Houston, Texas,"2,320,268","2,100,263",637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",
5,Phoenix, Arizona,"1,680,992","1,445,632",517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",
6,Philadelphia, Pennsylvania,"1,584,064","1,526,006",134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",
7,San Antonio, Texas,"1,547,253","1,327,407",461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",
8,San Diego, California,"1,423,851","1,307,402",325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",
9,Dallas, Texas,"1,343,573","1,197,816",340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",
10,San Jose, California,"1,021,795","945,942",177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",
